ANTA;(Todas);;;;;;;;;;;;
;;;;;;;;;;;;;
Suma de ANTA;Etiquetas de columna;;;;;;;;;;;;
Etiquetas de fila;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Set;Oct;Nov;Dic;Total general
1981;91.92818451;190.7933197;145.7936554;43.90549469;1.171261311;0.205381244;0;5.234084606;8.854183197;36.95557022;126.2027969;69.50440216;720.548334
1982;67.55433655;115.3406754;100.2479782;53.47806549;1.35498035;0.158012822;1.190936446;2.912551165;9.713583946;116.4553909;100.1543121;77.36571503;645.9265384
1983;93.55870056;46.3842926;123.1615372;71.51587677;10.17793369;13.64873028;0.455982924;0.305707484;12.61496162;47.1749382;64.72538757;88.79433441;572.5183833
1984;82.12957764;233.9545288;193.9936676;71.9305191;24.79349709;1.607380629;1.254874468;0.252797037;26.17562103;70.00956726;41.04056168;80.88290405;828.0254964
1985;43.78880692;92.28925323;47.65795898;69.32676697;27.89598083;0.39926967;1.178979993;0.363665164;59.38381577;16.43484116;28.63314819;80.50332642;467.8558133
1986;128.2819519;99.73718262;68.07886505;113.9921646;13.69076157;0.220092028;0.216679439;2.673398018;6.593743801;27.9989872;56.62509918;91.43820953;609.547135
1987;147.4958191;94.49613953;114.1834793;72.79226685;15.07946968;0.42908752;0.379863709;1.213684082;27.44226265;8.239958763;66.79390717;83.07846832;631.6244067
1988;143.524704;138.2547455;77.44172668;124.8047256;16.95266151;0.374899805;0;1.860640049;23.22762489;50.8054924;79.85912323;61.409729;718.5160727
1989;123.3307343;120.4308167;162.3782349;101.3439026;9.030896187;1.6515311;0.22218743;6.829099178;48.94794083;84.92549133;50.72580719;40.08146667;749.8981083
1990;95.58374023;63.81956863;115.4517365;52.33369827;13.11748505;1.030806541;0.224968538;1.082888484;20.56123543;124.9112396;95.71987152;87.9392395;671.7764783
1991;96.04527283;88.85233307;249.6945648;81.10313416;17.62203789;0.228520811;0.461817056;0.016229838;14.96039581;66.2328949;68.58145905;59.21041489;743.0090751
1992;58.87154007;72.04573822;126.0627899;47.18409729;8.832901001;1.724534392;0.120228626;3.696322918;23.34627151;37.18980789;35.2526207;44.08832932;458.4151819
1993;82.22466278;111.2719116;190.3641968;84.98540497;13.79784203;0.28027451;0.929408133;2.705782175;34.5725975;59.99044418;80.13911438;141.5279541;802.7895932
1994;169.3702698;132.0375366;150.2972717;89.95388031;17.03474426;0.884045601;0;0.986747563;24.46775627;40.09107971;46.70802307;77.90608978;749.7374447
1995;94.40978241;93.05937958;143.1167603;58.88352203;29.05236816;0.592769921;0.261185199;1.062624335;21.69361687;39.47123718;76.66387177;77.55648041;635.8235981
1996;155.9172974;121.2240906;146.1219635;67.30044556;14.672122;0.330156296;0;3.860599756;22.05647087;53.16764832;37.06586838;64.09983063;685.8164932
1997;102.5408478;111.0905838;81.0497818;50.90694046;15.13788795;0.350347638;0.151718557;1.033278346;21.61631393;46.10063171;58.70806122;107.1007538;595.787147
1998;150.609024;147.1240082;177.1753998;80.01720428;11.32910442;0.325763077;0.041918252;0.313287675;17.88577461;85.13374329;53.00415039;77.46942139;800.4287994
1999;131.3925629;155.1747894;193.3633728;77.49397278;23.7291851;1.296444774;0.261793882;0.459261119;50.79844284;43.09671402;90.80976868;95.54742432;863.4237326
2000;116.270607;119.409996;136.6591492;81.85759735;29.06045914;0.369245499;0.297851235;3.977417946;28.56365013;19.6987915;45.89579391;96.49628448;678.5568434
2001;215.0878296;85.8010025;150.9806824;48.9500885;13.62656879;0.841097951;0.257880062;1.447690606;30.85668945;42.14859009;96.22497559;55.77627945;741.999375
2002;82.50278473;134.0292511;187.6375275;82.92205811;9.831318855;0.240618959;0.469059229;0.174399823;16.40174484;77.78295898;94.94887543;83.95967102;770.9002685
2003;112.3782883;78.16751862;135.9357758;66.01591492;11.9239769;1.048684597;0.325262904;1.903068066;18.51528358;35.86074066;38.73025894;127.7107697;628.5155429
2004;68.32711792;96.12862396;102.9170532;42.26678467;13.02068996;0.998338223;0.582349896;0.37946251;30.22970963;73.5033493;73.8092041;87.12908173;589.2917651
2005;132.3944244;76.04088593;198.0086823;39.16080856;3.673173189;0.076758221;0.022534134;2.362718582;4.610711575;44.18238831;38.74160385;85.6155777;624.8902667
2006;116.3168259;124.6334991;150.5341644;84.85122681;8.787618637;1.53564775;0.347992957;2.304612875;23.19705582;55.52560806;88.00245667;94.09863281;750.1353418
2007;101.3929062;70.02301788;141.6919403;83.08092499;9.670558929;0.259298742;0.199568272;2.162247658;14.33414555;68.1678772;57.32517624;82.85414886;631.1618108
2008;131.3022156;119.0381622;134.2884369;70.32730865;3.355938911;0.985331416;0.751105845;2.985150576;21.18534088;72.35404205;45.4625206;68.99271393;671.0282676
2009;222.9269409;113.4591522;227.3584595;79.33567047;13.77282238;1.590409756;0.339613885;2.366048813;2.816501141;66.73517609;61.75648499;101.368248;893.8255281
2010;115.3985977;98.06265259;133.3206787;48.84273148;13.89966011;0.950027883;0.137848482;2.035213947;22.46064758;57.71015549;110.6249542;124.6988449;728.1420131
2011;132.3459167;109.2331619;149.6439667;74.94348145;1.538027644;0;0.830174625;1.332013488;15.71004772;39.52041245;96.90391541;99.89726257;721.8983807
2012;118.1963425;129.5962219;155.5598755;118.2177887;12.36686897;1.220292449;0;0.33339867;24.06544113;41.94785309;86.35865021;110.0287476;797.8914807
2013;76.55736542;131.6608124;234.5918121;45.80722046;19.92476845;0.235294014;0.341668129;5.861032486;7.44116497;70.01311493;60.79983902;85.18328857;738.417381
2014;115.6139603;141.8462982;222.3530579;65.25204468;28.49979019;0.777159691;0.103181124;3.924648762;26.06654167;51.6934433;65.49307251;100.0850372;821.7082355
2015;103.2705765;96.01626587;138.0763092;58.17278671;25.01316833;0.964381874;0.012504625;0.487282842;21.18739128;38.72617722;63.42815018;84.09501648;629.4500111
2016;64.9567337;123.5738449;137.806778;44.17091751;12.16012669;0.355286241;0.004946581;0.440267265;26.90642738;40.22543335;4.273672581;102.0365753;556.9110095
2017;126.0305405;125.0855179;145.800354;80.34883118;25.1289978;0.843163073;0.081634395;3.279682398;32.21179962;57.93201065;60.0798912;98.20023346;755.0226561
2018;139.6292877;95.99084473;219.4635773;94.21900177;26.79393005;0.610385716;0.238455519;3.36069417;28.40143967;63.0821228;80.20108032;84.20443726;836.195257
2019;130.2588959;147.2561646;146.4652405;65.1679306;20.1473999;1.576211095;0.545583069;0.283877701;41.04713821;61.19197845;66.17414093;131.9660492;812.0806101
2020;111.9691772;118.2284775;133.9847412;37.99485779;25.98879051;0.926607668;0.794510901;2.945781946;36.98669052;46.01083374;57.5123024;76.84561157;650.188383
2021;73.17945099;50.43237686;76.1211319;120.8345795;;;;;;;;;320.5675392
Total general;4664.864601;4611.094643;6064.834335;2945.992638;612.6577744;42.14228947;14.03626852;81.20936012;948.1081758;2178.398736;2650.159972;3486.747005;28300.2458
